task,pnum,iteration,score
word_in_context,0,1,0.54
word_in_context,0,2,0.52
word_in_context,0,3,0.48
word_in_context,0,4,0.55
word_in_context,0,5,0.54
word_in_context,1,1,0.52
word_in_context,1,2,0.54
word_in_context,1,3,0.55
word_in_context,1,4,0.58
word_in_context,1,5,0.53
word_in_context,2,1,0.5
word_in_context,2,2,0.49
word_in_context,2,3,0.53
word_in_context,2,4,0.51
word_in_context,2,5,0.53
word_in_context,3,1,0.51
word_in_context,3,2,0.54
word_in_context,3,3,0.57
word_in_context,3,4,0.53
word_in_context,3,5,0.51
word_in_context,4,1,0.46
word_in_context,4,2,0.5
word_in_context,4,3,0.45
word_in_context,4,4,0.44
word_in_context,4,5,0.46
word_in_context,5,1,0.55
word_in_context,5,2,0.47
word_in_context,5,3,0.43
word_in_context,5,4,0.45
word_in_context,5,5,0.48
word_in_context,6,1,0.58
word_in_context,6,2,0.55
word_in_context,6,3,0.57
word_in_context,6,4,0.61
word_in_context,6,5,0.57
word_in_context,7,1,0.49
word_in_context,7,2,0.53
word_in_context,7,3,0.5
word_in_context,7,4,0.56
word_in_context,7,5,0.49
word_in_context,8,1,0.43
word_in_context,8,2,0.39
word_in_context,8,3,0.33
word_in_context,8,4,0.42
word_in_context,8,5,0.52
word_in_context,9,1,0.47
word_in_context,9,2,0.61
word_in_context,9,3,0.48
word_in_context,9,4,0.49
word_in_context,9,5,0.51
word_in_context,10,1,0.49
word_in_context,10,2,0.53
word_in_context,10,3,0.45
word_in_context,10,4,0.52
word_in_context,10,5,0.52
orthography_starts_with,0,1,0.09
orthography_starts_with,0,2,0.06
orthography_starts_with,0,3,0.09
orthography_starts_with,0,4,0.04
orthography_starts_with,0,5,0.05
orthography_starts_with,1,1,0.06
orthography_starts_with,1,2,0.05
orthography_starts_with,1,3,0.08
orthography_starts_with,1,4,0.09
orthography_starts_with,1,5,0.1
orthography_starts_with,2,1,0.06
orthography_starts_with,2,2,0.06
orthography_starts_with,2,3,0.04
orthography_starts_with,2,4,0.06
orthography_starts_with,2,5,0.06
orthography_starts_with,3,1,0.06
orthography_starts_with,3,2,0.11
orthography_starts_with,3,3,0.09
orthography_starts_with,3,4,0.1
orthography_starts_with,3,5,0.09
orthography_starts_with,4,1,0.03
orthography_starts_with,4,2,0.02
orthography_starts_with,4,3,0.04
orthography_starts_with,4,4,0.03
orthography_starts_with,4,5,0.02
orthography_starts_with,5,1,0.08
orthography_starts_with,5,2,0.07
orthography_starts_with,5,3,0.05
orthography_starts_with,5,4,0.03
orthography_starts_with,5,5,0.08
orthography_starts_with,6,1,0.09
orthography_starts_with,6,2,0.11
orthography_starts_with,6,3,0.09
orthography_starts_with,6,4,0.08
orthography_starts_with,6,5,0.06
orthography_starts_with,7,1,0.07
orthography_starts_with,7,2,0.08
orthography_starts_with,7,3,0.08
orthography_starts_with,7,4,0.05
orthography_starts_with,7,5,0.07
orthography_starts_with,8,1,0.06
orthography_starts_with,8,2,0.1
orthography_starts_with,8,3,0.05
orthography_starts_with,8,4,0.05
orthography_starts_with,8,5,0.07
orthography_starts_with,9,1,0.05
orthography_starts_with,9,2,0.03
orthography_starts_with,9,3,0.04
orthography_starts_with,9,4,0.04
orthography_starts_with,9,5,0.04
orthography_starts_with,10,1,0.02
orthography_starts_with,10,2,0.04
orthography_starts_with,10,3,0.04
orthography_starts_with,10,4,0.03
orthography_starts_with,10,5,0.04
translation_en-es,0,1,0.37
translation_en-es,0,2,0.37
translation_en-es,0,3,0.36
translation_en-es,0,4,0.38
translation_en-es,0,5,0.35
translation_en-es,1,1,0.29
translation_en-es,1,2,0.26
translation_en-es,1,3,0.3
translation_en-es,1,4,0.29
translation_en-es,1,5,0.33
translation_en-es,2,1,0.35
translation_en-es,2,2,0.36
translation_en-es,2,3,0.35
translation_en-es,2,4,0.34
translation_en-es,2,5,0.39
translation_en-es,3,1,0.34
translation_en-es,3,2,0.38
translation_en-es,3,3,0.35
translation_en-es,3,4,0.38
translation_en-es,3,5,0.4
translation_en-es,4,1,0.15
translation_en-es,4,2,0.16
translation_en-es,4,3,0.18
translation_en-es,4,4,0.16
translation_en-es,4,5,0.15
translation_en-es,5,1,0.35
translation_en-es,5,2,0.34
translation_en-es,5,3,0.32
translation_en-es,5,4,0.31
translation_en-es,5,5,0.37
translation_en-es,6,1,0.31
translation_en-es,6,2,0.37
translation_en-es,6,3,0.32
translation_en-es,6,4,0.34
translation_en-es,6,5,0.38
translation_en-es,7,1,0.3
translation_en-es,7,2,0.37
translation_en-es,7,3,0.31
translation_en-es,7,4,0.35
translation_en-es,7,5,0.4
translation_en-es,8,1,0.35
translation_en-es,8,2,0.31
translation_en-es,8,3,0.39
translation_en-es,8,4,0.37
translation_en-es,8,5,0.32
translation_en-es,9,1,0.32
translation_en-es,9,2,0.31
translation_en-es,9,3,0.32
translation_en-es,9,4,0.3
translation_en-es,9,5,0.35
translation_en-es,10,1,0.2
translation_en-es,10,2,0.18
translation_en-es,10,3,0.18
translation_en-es,10,4,0.23
translation_en-es,10,5,0.23
second_word_letter,0,1,0.23
second_word_letter,0,2,0.24
second_word_letter,0,3,0.24
second_word_letter,0,4,0.2
second_word_letter,0,5,0.2
second_word_letter,1,1,0.28
second_word_letter,1,2,0.19
second_word_letter,1,3,0.2
second_word_letter,1,4,0.2
second_word_letter,1,5,0.23
second_word_letter,2,1,0.26
second_word_letter,2,2,0.22
second_word_letter,2,3,0.22
second_word_letter,2,4,0.26
second_word_letter,2,5,0.29
second_word_letter,3,1,0.24
second_word_letter,3,2,0.29
second_word_letter,3,3,0.22
second_word_letter,3,4,0.26
second_word_letter,3,5,0.23
second_word_letter,4,1,0.25
second_word_letter,4,2,0.27
second_word_letter,4,3,0.25
second_word_letter,4,4,0.28
second_word_letter,4,5,0.32
second_word_letter,5,1,0.29
second_word_letter,5,2,0.27
second_word_letter,5,3,0.24
second_word_letter,5,4,0.24
